y,x1,x2,x3,x4,x5,x6,x7
0,5.954090645,-1.650964249,0.558864741,-1.043338578,0.528415234,R,B
1,0.940958037,-1.760363685,0.933968128,1.670557871,0.466262679,R,C
1,-3.560725369,-2.529464693,1.321317394,-2.644081077,0.473592961,R,C
0,6.66414714,-2.770250506,0.381800422,3.289356034,0.111035547,R,B
1,-2.069927896,-1.972303529,0.921575827,1.459757389,0.013734163,R,A
1,5.952991075,-2.095695534,1.508481582,0.815336111,0.213483378,R,D
1,-0.130491074,-2.095174995,0.651372199,0.047753796,0.475777094,R,D
0,5.037183744,-2.021572652,1.177901694,0.770507822,0.494136356,R,D
1,-2.959756326,-1.731253387,0.754607618,0.641171916,0.338311976,R,C
0,1.7232828,-2.516216332,1.200715475,0.487691194,0.11730111,R,C
0,2.048355628,-2.031802111,0.399429462,1.513936244,0.095720927,AA,C
1,9.474491567,-1.882350273,1.285238343,-2.334952421,0.450807567,R,D
0,-1.47040443,-2.77061885,0.725177743,-0.573588176,0.043669461,R,D
0,3.936011136,-2.560756284,0.604623029,0.166750786,0.321893056,R,D
0,4.264606289,-2.25292239,0.512516477,2.891725716,0.075756776,R,C
0,4.483074343,-2.0454032,0.663286469,1.098216341,0.31229732,R,B
0,6.510354277,-1.953424102,0.286905924,2.636978158,0.154405973,AA,A
1,-4.073294105,-2.167223805,0.689564334,-1.927584125,0.506206103,R,D
0,1.691494329,-2.104298129,1.655302338,1.616316555,0.046984097,R,C
1,-6.052900886,-2.390962851,0.449322204,-1.910164488,0.214387482,R,C
0,4.142242015,-1.942695756,0.431960883,-1.032319749,0.298528238,R,B
0,6.873714299,-2.220577987,0.54744258,-1.466510822,0.102059688,R,B
0,6.469226419,-1.864619212,0.810511882,-0.613821144,0.378840421,R,B
0,8.512539928,-2.164711646,0.326460762,3.081489485,0.108017793,R,C
1,-0.23303827,-1.192581376,0.632178125,-0.966315413,0.469077711,R,C
1,0.951387317,-2.428858918,1.107400479,0.547361215,0.171461688,R,C
1,-4.215887362,-3.00718056,0.076679178,1.372073728,0.233881773,AA,C
0,3.162519873,-2.207872718,0.530196101,1.487020595,0.066618199,R,D
1,13.544066,-2.544706702,1.18716554,1.276137526,0.276473422,R,C
1,-3.463996908,-1.893069716,0.354809309,0.603841092,0.526698867,R,B
0,-0.73823718,-1.979101655,0.458468932,-1.003396417,2.15E-04,AA,B
0,5.521542743,-2.210647494,0.525850724,2.105267214,0.395965891,AA,D
0,6.043039928,-1.874974527,0.847415943,-1.543878467,0.072299907,AA,C
0,0.953508925,-1.29156946,1.006441161,0.059301904,0.490893155,R,C
1,7.007629997,-1.992700313,1.114947534,-0.800961269,0.165107648,R,C
1,1.466431258,-1.775388481,0.641576916,0.582594087,0.027478057,R,C
0,1.091450855,-2.41950572,1.155839925,-1.080988811,0.190453804,R,B
0,4.016830851,-2.006940621,1.432457053,1.172676859,0.100457617,AA,D
1,-1.653966971,-1.774684481,1.352455536,1.869390172,0.148270824,R,C
0,1.248242526,-1.923545336,0.843787832,-0.482693537,0.315232756,R,D
1,-3.896542934,-1.595386749,0.082249442,0.495222622,0.127097899,R,B
0,9.90058678,-1.69247757,0.161996837,-0.410341542,0.346939902,R,C
0,3.368620411,-1.81371176,0.571076029,-0.010052213,0.561671717,R,B
0,3.292459399,-1.709487584,0.399732724,-0.628329857,0.231241744,R,D
0,5.56059131,-1.832280231,1.089723707,-1.494262942,0.40563553,R,C
0,3.824507909,-2.093360937,0.997222441,1.74351847,0.254388099,AA,D
0,6.452824922,-1.96092058,0.432140473,-1.600691007,0.395513344,R,B
0,3.559110079,-2.606013833,0.313304017,-1.612215317,0.35201503,R,C
1,2.087620848,-1.759144917,1.392323536,0.587469437,0.0666523,R,C
0,1.720687509,-2.437379145,1.062151889,0.125744383,0.244779134,AA,C
0,2.788210469,-2.24839571,0.741144689,0.204587458,0.274753153,R,D
0,2.054406395,-2.186442356,1.140816076,-0.692343413,0.494273986,R,C
0,1.648145967,-2.051251751,0.485937733,2.278481518,0.047178955,R,C
0,-0.02193867,-2.920920087,0.148348525,1.233405046,0.427917859,R,C
0,-0.4463739,-1.66820497,0.230951765,-0.25838288,0.346535648,R,D
0,0.889338044,-2.575962436,0.808462274,-1.071281381,0.260375499,R,B
0,-0.159868959,-1.278829703,0.562779298,-1.315102714,0.166455303,R,A
0,6.79806569,-1.853944003,0.514100082,0.785299131,0.254612176,AA,C
1,3.114431575,-1.732379775,2.311736957,-0.227520382,0.473978977,R,B
1,6.279150736,-1.564588931,1.616766185,1.158938484,0.151437018,R,B
1,-1.002161604,-1.902420558,0.44450142,-0.662493991,0.714538767,R,C
1,-0.041429824,-2.350932203,0.793079943,1.219694911,0.096077622,R,C
0,4.776967366,-1.646552463,0.708616736,0.998335077,0.72582858,R,D
0,9.954742378,-1.48718821,0.147627684,-1.073323091,0.18788906,R,D
1,-0.100811709,-2.614471971,0.974431807,-1.407576958,0.287493556,R,C
0,-1.730254313,-2.252780148,0.518512202,-0.013199839,0.224668872,AA,C
0,1.743885852,-2.218095021,0.378750863,-0.380416741,0.330386726,R,B
1,1.426334573,-2.575014283,0.873717846,1.87690431,0.262991145,R,B
0,5.239614534,-2.405486592,0.235314055,-2.084753967,0.234001611,R,B
0,2.001028461,-2.066314137,0.840049638,1.863926964,0.069333906,AA,C
0,5.576546966,-2.481284207,0.823691308,0.25815169,0.541463656,R,C
0,5.361301478,-2.017360021,0.711299562,-0.361967825,0.219468129,R,A
0,1.862822246,-2.080097055,0.723910913,0.977039,0.047093489,R,D
0,8.388470597,-1.363543608,0.360560775,-0.155977527,0.123487706,R,C
0,12.50178787,-1.76428457,0.218186233,-0.824842109,0.51432552,R,C
0,3.554951871,-2.068696674,0.752527884,-0.460285036,0.071590089,R,C
0,-0.316530066,-1.813034746,0.629311723,0.340095212,0.185082532,R,C
0,2.508143299,-2.616582186,1.223075876,-0.625405742,0.086433897,AA,D
0,4.930022314,-2.553194786,0.649131132,1.779809918,0.091716815,AA,D
0,2.278443555,-1.641468968,0.902024037,2.518467731,0.125817517,R,C
1,-1.280879619,-2.062366424,0.93322284,-0.919272434,0.07764672,R,C
0,2.717795187,-1.954201152,0.631741064,-2.786317536,0.453968877,R,C
0,8.15447687,-1.818942098,0.732866243,0.950558039,0.170223407,R,C
0,2.399154571,-2.045092972,0.136946483,-1.396494108,0.14259406,R,B
0,0.789202705,-1.815151857,1.989867972,2.159389066,0.31124999,R,D
0,0.4350881,-2.56009308,1.018806207,0.597384011,0.245714708,R,C
0,2.017223651,-2.147987207,0.316523334,0.424635952,0.003346262,R,B
0,2.97877777,-2.085214932,0.155508356,-0.120830178,0.186306871,R,C
0,1.510446153,-1.708258119,0.598351015,-0.483560255,0.439849035,R,C
0,7.634245247,-1.254788432,0.623517908,-0.175731258,0.173209854,R,B
1,5.685877646,-1.745905985,2.25019134,-0.760296534,0.22134859,R,C
0,0.336522257,-3.091237737,1.136620167,1.723860555,0.317839784,R,C
0,-0.25897348,-2.963491866,0.943341717,1.587952913,0.139088042,R,C
0,1.790056374,-1.467497248,0.22681198,2.225571146,0.109997048,AA,D
0,2.001162269,-1.674404991,0.639478802,-2.97659016,0.610692567,R,C
1,2.883714731,-2.467944987,1.146828977,2.828973395,0.648677255,AA,A
0,3.102509701,-2.459276077,0.370068197,-1.254066076,0.087581416,R,D
0,-0.03370047,-1.784821041,1.097326105,-0.241617677,0.127360274,R,B
0,0.520591484,-1.422771846,0.420307187,1.069333686,0.112570523,AA,C
0,0.492412877,-1.958552329,0.454909871,-0.21480826,0.12883142,AA,C
0,-0.380200759,-2.148296906,1.038542751,0.3326612,0.295909968,R,C
1,6.431711055,-2.425711585,1.400073349,0.574181121,0.31093144,R,D
1,0.265574111,-1.849637065,0.276754985,0.163724908,0.232984024,AA,C
0,2.957221865,-2.000726656,0.433841692,-1.156158413,0.200043824,AA,B
1,-2.616658168,-2.554681224,0.588193859,1.308339938,0.226935345,R,C
0,8.567106425,-1.949652548,0.492997035,-0.140695121,0.433780464,R,C
0,5.07401972,-2.012087813,1.987874115,1.396694175,0.308981656,R,D
1,4.852170673,-1.407570255,0.921208439,-1.015461783,0.507171526,R,D
0,5.184359154,-1.783924792,0.384195803,-0.483092132,0.140539786,AA,C
1,-7.556382983,-2.015701233,1.645608132,1.041315722,0.003376847,R,C
1,-1.158590955,-1.256629094,1.41079384,-0.864303291,0.458797314,R,D
1,2.455286051,-2.064621558,0.925742418,0.614598797,0.314014347,R,B
0,1.018839174,-1.978590357,0.363473667,-1.123081508,0.322068687,AA,D
0,-0.187649609,-1.85974533,0.843304606,-0.109356237,0.096172637,R,C
0,7.889190596,-2.223050618,0.293659335,-1.028032908,0.318793857,R,D
0,-0.56508589,-2.482330229,0.544931641,0.699257264,0.06234198,AA,C
0,2.848883619,-1.622032341,0.934608114,-0.377569137,0.838129793,R,D
0,1.58914643,-2.265081249,0.508900965,-2.632886488,0.474224791,R,C
1,-5.204929096,-2.555382908,0.510243635,-0.764668016,0.534570602,R,C
1,-1.148282888,-2.180538474,0.893341929,0.36266415,0.047471602,R,C
0,5.35423157,-1.941372537,0.400511925,-0.588793782,0.089535058,R,D
0,6.24092456,-1.986313745,0.759943526,-0.50629164,0.228634911,R,C
1,-7.411207348,-2.047138855,0.452553533,1.013402909,0.289904368,AA,D
1,-3.634331397,-2.567975895,0.493026234,0.016123959,0.255600253,R,C
0,3.981780284,-1.641321733,0.413688497,1.712374765,0.412354552,AA,C
0,5.547690801,-1.842394098,0.714391478,0.917730084,0.210020395,R,C
0,0.171625674,-1.596896739,1.572352063,0.694427961,0.439806826,R,B
0,1.577866795,-1.73219231,1.092440639,-0.562366568,0.195268957,R,C
1,0.022483522,-1.390116696,0.435857006,2.307027295,0.117586199,R,C
1,-0.990547462,-1.344199918,0.652862759,0.236521731,0.500236143,AA,D
0,7.076261197,-2.26704948,0.374072436,0.083579254,0.122898504,R,D
0,7.879686442,-1.487671132,0.365142101,0.576857535,0.352265263,R,D
0,11.78300923,-2.363763406,0.592402273,1.642087317,0.095114822,R,C
1,7.394580538,-2.113922864,1.176451111,-0.148423365,0.547911649,R,C
0,3.756820554,-1.7526375,0.314609894,1.69693704,0.128325208,R,C
1,-3.165587201,-1.272633096,1.042804287,-0.584892881,0.211237838,R,D
1,2.205665464,-1.739276999,0.714619066,0.40797229,0.0304765,R,B
0,5.901960292,-1.895428072,0.299842309,-0.827455252,0.322200123,R,A
1,9.040751708,-1.591494844,0.918235386,-1.721180143,0.170232776,R,D
0,2.531722613,-2.2372649,1.297495281,0.871819617,0.601110305,AA,C
0,2.109313679,-1.24752478,0.723936427,0.546347823,0.098107855,AA,B
0,5.420112289,-2.061471053,0.377275614,1.081500155,0.849285795,R,D
0,6.378990496,-2.530986787,0.417756838,-0.880633708,0.125783452,AA,D
0,2.390167978,-1.838710009,0.178536809,0.308517793,0.012276506,R,C
1,-4.441850822,-2.038645965,0.208550504,-0.457999604,0.224010214,AA,B
0,7.379793296,-2.27284168,0.62757853,1.328334024,0.165132596,R,B
0,9.302615897,-2.462402452,0.510892638,0.154978434,0.292547467,R,D
0,4.345730178,-2.221682897,0.257113496,2.709840543,0.124344566,R,B
0,1.730829514,-1.840674696,0.434179091,0.443734907,0.050146827,R,C
0,-0.608488796,-2.282211672,0.654175769,-1.734951746,0.067618885,R,D
0,1.05620683,-2.348645728,0.543690266,-0.913317342,0.340020123,R,D
0,2.78701744,-2.151721829,0.417028262,1.177789674,0.320322137,R,C
0,1.090253544,-2.232382513,0.964581273,-0.043077854,0.151695514,R,D
1,-2.413326796,-1.628927361,0.346243694,-0.10175287,0.311215434,R,C
0,10.9945162,-2.233190388,0.516365483,-2.128427898,0.247196498,R,D
1,-0.245170941,-2.22058991,0.591245297,-0.089767779,0.028279673,R,D
1,-1.486219058,-2.582524329,0.586158783,2.150688543,0.004832119,R,D
0,3.810572098,-2.365847178,1.12329334,-0.669370687,0.086557175,R,D
1,3.687861392,-1.422612046,1.79201423,0.336138812,0.305830003,R,C
0,4.576982557,-2.358547587,0.595454324,-2.349288811,0.124092962,AA,D
1,-2.489216047,-1.812584618,0.170634568,0.152919337,0.098411599,R,C
0,-0.455585012,-1.972370717,0.571261366,-0.31096306,0.122178074,R,C
0,4.015053142,-2.473133574,1.292981283,0.977174363,0.375437261,R,B
0,4.237899016,-2.952454282,0.421324969,-1.399661761,0.437410538,R,D
1,-5.511750091,-2.579491874,0.547245762,-0.601804112,0.161938224,AA,D
1,0.569219725,-1.725611128,0.581917655,-0.726588496,0.127936736,R,C
1,-2.651080047,-2.221447808,0.944209851,0.156977252,0.403412832,R,C
0,3.87761531,-2.051475318,0.502945651,2.043875223,0.005461244,R,C
0,7.181533144,-1.624549395,0.440267259,-1.112593756,0.387259234,AA,D
0,2.673230605,-1.862020539,0.599531684,-1.952695118,0.320042303,R,C
0,3.85439176,-1.538970432,0.959015645,0.75461455,0.201430656,R,D
0,-0.534286776,-1.84944604,0.24105108,-0.722912036,0.210813914,R,B
0,3.707029222,-1.943604079,0.743075724,1.046936273,0.185618112,R,D
1,-1.167828466,-2.383295823,1.197464589,-1.040126796,0.42272143,R,D
0,0.868319831,-2.015870861,0.822770724,1.484796453,0.438915525,R,C
1,7.0870419,-0.327259519,0.829476612,-1.575336536,0.090957481,R,C
1,1.290227216,-2.229966054,0.780718722,-0.278648773,0.100675262,R,D
0,7.083458098,-2.280197175,0.364051384,-0.74160387,0.109597051,AA,C
0,4.913171765,-2.440735583,0.673568154,-0.145196755,0.100850757,R,C
0,1.94560834,-2.056666365,0.912818059,0.235570061,0.218999426,R,C
1,2.23402964,-1.700400833,0.228537747,-0.058808207,0.276836877,R,D
0,5.347643942,-1.887744313,0.635885299,0.40171681,0.244058966,R,C
0,1.293918661,-1.588077956,1.121527558,0.154806809,0.332786342,R,C
1,-0.620755748,-2.45785111,0.23843789,-0.137672273,0.038803225,R,D
0,1.615541715,-1.937111878,0.915218537,-1.365722113,0.461000415,R,C
0,4.740637297,-2.785041389,0.483746225,-1.31862585,0.135820229,R,B
0,-1.696991202,-1.77205891,0.28930454,1.263687785,0.325847897,AA,C
0,3.304460516,-2.114211989,0.83690945,-0.287681812,0.059608181,R,C
0,2.452986485,-1.403655964,0.566778215,-1.701142454,0.242547129,R,D
1,-7.663486371,-1.910298562,0.094312142,0.811250933,0.081640503,R,C
0,2.073980497,-1.808627703,1.713438815,1.22878009,0.307472502,R,C
0,6.728384429,-2.278468842,0.295070243,-0.848467793,0.012134159,R,D
1,1.821051768,-1.940278606,1.263130362,-2.311628191,0.22560874,AA,D
0,0.644874067,-1.31568678,1.891018475,0.36965652,0.001126367,R,C
1,5.172998099,-1.902985843,1.538473608,0.755930351,0.279728574,R,A
0,3.474396723,-1.501305788,0.689424749,-0.343806736,0.411357109,R,C
0,1.891752344,-1.620065804,0.172084635,-2.168554088,0.17570305,AA,C
1,1.005767969,-2.180157383,1.119290545,0.807533276,0.177096283,R,D
0,7.579003527,-1.840981744,0.353653594,-2.485642271,0.256385824,AA,D
1,-3.429048721,-1.634190923,1.402400819,-0.092045479,0.238727303,AA,C
0,5.883380166,-2.372840423,0.80192309,-5.69E-04,0.076583551,R,D
0,1.421477732,-2.048595488,0.340250324,1.636953915,0.633665788,AA,B
0,6.930650384,-2.816270582,0.28484436,0.632344425,0.063951545,AA,C
1,-2.617207895,-2.056438899,0.498576202,0.7719033,0.220742176,R,C
0,6.200813722,-2.364098308,0.57999527,0.256368934,0.077292464,R,D
1,-0.002969906,-2.676708052,0.465802867,-0.480425712,0.168626231,AA,D
1,-4.147849518,-1.153479763,0.427790485,-0.306551165,0.093916591,R,D
0,5.564952853,-1.717293279,0.319338954,0.534721501,0.014320179,R,D
1,-0.025696361,-1.197895836,0.126410833,0.423596122,0.796646243,R,B
1,5.778384785,-2.110740388,1.640085168,-0.988183301,0.306397079,AA,C
0,7.172535528,-1.743540183,0.595150929,0.175424049,0.585440889,AA,C
0,2.537977309,-2.122522929,0.598208202,0.038522901,0.143121112,R,C
1,-1.969701379,-2.378508065,0.553037635,-0.664141328,0.748672996,R,D
1,-5.207248043,-2.06164777,0.193086827,0.584581228,0.211923335,R,B
0,3.467452119,-0.920046129,1.412998341,-1.403582535,0.401316321,R,D
0,4.569806152,-1.575399496,0.452989653,1.798094605,0.031394248,R,B
0,2.492759543,-1.640690088,0.382380481,1.25841764,0.14340985,AA,C
1,1.588219461,-2.649993227,0.845551462,1.65503106,0.529952406,R,C
1,8.215650799,-2.030817721,0.672523505,0.269645253,0.474530489,R,C
1,-0.508436105,-2.330605021,0.477208529,-0.566402698,0.505952744,R,D
0,0.719509261,-1.817351192,1.633579077,2.110336883,0.18037589,R,C
0,4.89860532,-2.370947514,0.5809659,1.221672726,0.031058855,R,D
1,-3.369501127,-1.642564772,2.206076425,0.040991386,0.015515291,R,D
0,7.87241155,-1.044316831,0.580022972,0.392006735,0.072558614,R,B
0,0.267753637,-2.313436426,1.168486143,0.432152573,0.3548827,R,C
0,-0.022288503,-1.602646435,0.653427757,0.935077106,0.640392283,R,D
1,-3.793301739,-1.882123778,0.186514564,-0.940584342,2.14E-04,AA,C
0,6.202198111,-2.102459435,1.170600723,0.673338938,0.113584314,R,B
1,8.478436788,-2.365907725,1.320574208,-1.823784652,0.150154849,R,D
1,5.995310985,-1.015153418,0.542293066,1.825357401,0.469690694,R,D
1,0.100186372,-1.816165111,0.495970715,0.05677958,0.4629105,AA,C
1,5.397980358,-1.77161209,0.822120362,0.909339246,0.208184905,R,D
0,1.729160984,-2.805074209,0.997950488,1.848728273,0.657730105,AA,D
0,2.038462133,-1.205403337,0.979162239,-3.650353499,0.325724193,R,D
